"Date","Open","High","Low","Close","Adj.Close","Volume","sma","pricevolatility"
"2016-01-04",147500,148000,143500,144000,109247.6875,445332,NA,4500
"2016-01-05",143000,145000,142000,143500,108868.375,530496,NA,3000
"2016-01-06",144000,145000,139000,140000,106213.03125,769406,NA,6000
"2016-01-07",138500,140000,137500,137500,104316.390625,586187,NA,2500
"2016-01-08",134500,138000,133500,136500,103557.71875,888701,NA,4500
"2016-01-11",134500,140500,134000,140000,106213.03125,542749,NA,6500
"2016-01-12",140500,141500,139000,139500,105833.703125,386506,NA,2500
"2016-01-13",140500,141500,139500,140500,106592.359375,338336,NA,2000
"2016-01-14",138500,143500,136500,141000,106971.703125,664829,NA,7000
"2016-01-15",141000,142000,136500,138500,105075.046875,568653,NA,5500
"2016-01-18",137500,140000,135500,139000,105454.3671875,400716,NA,4500
"2016-01-19",138000,140000,136000,140000,106213.03125,332956,NA,4000
"2016-01-20",139500,140000,135500,136500,103557.71875,544330,NA,4500
"2016-01-21",136000,138000,135500,137000,103937.046875,455723,NA,2500
"2016-01-22",138000,140500,136500,139000,105454.3671875,551671,NA,4000
"2016-01-25",140000,140500,136000,137500,104316.390625,543064,NA,4500
"2016-01-26",136500,137000,134500,136000,103178.3671875,564584,NA,2500
"2016-01-27",135500,137000,134500,137000,103937.046875,702981,NA,2500
"2016-01-28",135500,136500,134500,135000,102419.7109375,480730,NA,2000
"2016-01-29",135000,136000,131000,133000,100902.390625,990382,138550,5000
"2016-02-01",132000,132500,130500,132500,100523.0390625,689972,137975,2000
"2016-02-02",131500,132500,129000,129500,98247.0625,594441,137275,3500
"2016-02-03",127500,129500,126500,129000,97867.734375,649021,136725,3000
"2016-02-04",130000,132500,129500,132500,100523.0390625,600523,136475,3000
"2016-02-05",132000,133500,131000,133500,101281.7265625,513150,136325,2500
"2016-02-11",130500,132500,130500,131000,99385.046875,688873,135875,2000
"2016-02-12",131500,137500,131000,137000,103937.046875,1264899,135750,6500
"2016-02-15",137500,141500,135000,139500,105833.703125,879160,135700,6500
"2016-02-16",139500,142500,137500,141000,106971.703125,524822,135700,5000
"2016-02-17",142000,147500,141000,147000,111523.6796875,772996,136125,6500
"2016-02-18",147500,149000,145500,147000,111523.6796875,468798,136525,3500
"2016-02-19",147000,151000,147000,149000,113041.03125,477553,136975,4000
"2016-02-22",147500,148500,146000,147500,111903.0078125,273335,137525,2500
"2016-02-23",148000,149000,146500,149000,113041.03125,250401,138125,2500
"2016-02-24",147500,150000,146500,149000,113041.03125,191286,138625,3500
"2016-02-25",149500,153000,145500,147000,111523.6796875,490265,139100,7500
